Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Deepika Dorothy John,"MBBS, MS - Ophthalmology",10 Years Experience Overall,Ophthalmologist,"Kammana Halli, Bangalore",0,0,₹200
Dr. Sreepathi,"MBBS, MS - Ophthalmology",12 Years Experience Overall,Ophthalmologist,"Yelahanka New Town, Bangalore",0,0,₹500
Dr. Anupama Janardhanan,"MBBS, MS - Ophthalmology",4 Years Experience Overall  (3 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",0,0,₹500
Dr. Ravi D,"MBBS, DO, MS - Ophthalmology",27 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",0,0,₹500
Dr. Jyothsna R,"MBBS, MS - Ophthalmology",19 Years Experience Overall,Ophthalmologist,"Pulikeshi Nagar, Bangalore",0,0,₹500
Dr. Bindiya Hapani,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Koramangala, Bangalore",0,0,₹500
Dr. Mahima Mahesh,"MBBS, DO",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Pulikeshi Nagar, Bangalore",0,0,₹500
Dr. Mayanka Nayak,"MBBS, DOMS",7 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Whitefield, Bangalore",0,0,₹600
Dr. Pramod Kumar H.N,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Vinayaka Nagar, Bangalore",0,0,₹400
Dr. Vidhya N P,"MBBS, MS - Ophthalmology",5 Years Experience Overall,Ophthalmologist,"Ashoknagar, Bangalore",0,0,₹800
Dr. Hemanth Kumar K,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Indiranagar, Bangalore",0,0,₹600
Dr. Yazhini Tamilmani,"MBBS, MS - Ophthalmology",6 Years Experience Overall,Ophthalmologist,"Vinayaka Nagar, Bangalore",0,0,₹400
Dr. Venkatesh Babu S,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Banashankari, Bangalore",0,0,₹400
Dr. Jaya Sudha B R,"MBBS, DO",21 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Shivaji Nagar, Bangalore",0,0,₹500
Dr. Nyla Salahuddin,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Yelahanka New Town, Bangalore",0,0,₹500
Dr. Amod Nayak,"MBBS, MS - Ophthalmology",13 Years Experience Overall,Ophthalmologist,"Whitefield, Bangalore",64%,(11 votes),₹600
Dr. Sanjana Vatsa,"MBBS, MS - Ophthalmology",8 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",0,0,₹500
Dr. Supriya Bhagat,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",0,0,₹500
Dr. Mohan Raj,"MBBS, MD - Ophthalmology",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Bannerghatta Road, Bangalore",0,0,₹500
Dr. Namrata S Panoli,"MBBS, DNB - Ophthalmology",12 Years Experience Overall,Ophthalmologist,"Indiranagar, Bangalore",0,0,₹600
Dr. Rajashree S Prabhu,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Kammana Halli, Bangalore",0,0,₹500
Dr. Ruchita Falera,"MBBS, MD - Ophthalmology",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Shivaji Nagar, Bangalore",0,0,₹500
Dr. Jammie B Blah,"MBBS, MD - Ophthalmology",13 Years Experience Overall,Ophthalmologist,"Whitefield, Bangalore",0,0,₹600
Dr. Mridula Venugopal,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (6 years as specialist),Ophthalmologist,"HSR Layout, Bangalore",0,0,₹600
Dr. Sweta Patel,"MBBS, DO, DNB - Ophthalmology",8 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Whitefield, Bangalore",0,0,₹700
Dr. Kailash P Chhabria,"MBBS, DO, DNB - Ophthalmology",11 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Malleswaram, Bangalore",0,0,₹650
Dr. Vimal Parmar,"MBBS, DOMS",19 Years Experience Overall  (16 years as specialist),Ophthalmologist,"MG Road, Pune",97%,(673 votes),₹499
Dr. Vijay Parbatani,"MBBS, MS - Ophthalmology",22 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Shastri Nagar, Pune",95%,(276 votes),₹699
Dr. Anita Videkar Kumthekar,"MBBS, DOMS",11 Years Experience Overall,Ophthalmologist,"Kothrud, Pune",0,0,₹500
Dr. Kavita Kasav,"MBBS, DOMS",17 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Hadapsar, Pune",99%,(138 votes),₹500
Dr. Baban C Dolas,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",0,0,₹500
Dr. Kaushik Shah,"MBBS, DNB - Ophthalmology",23 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Pimpri-Chinchwad, Pune",97%,(912 votes),₹500
Dr. Anagha Behere,"MBBS, DNB - Ophthalmology, DOMS",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Aundh, Pune",99%,(1299 votes),₹600
Dr. Vrushali Inamke,"MBBS, DOMS",14 Years Experience Overall,Ophthalmologist,"Wakad, Pune",97%,(529 votes),₹400
Dr. Vaishali Sathe,"MBBS, DNB - Ophthalmology",19 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Aundh, Pune",98%,(662 votes),₹500
Dr. Anand Deshpande,"MBBS, DOMS",22 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Paud Road, Pune",82%,(39 votes),₹500
Dr. Dipti Murkute (Pansare),"MBBS, DNB - Ophthalmology",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Kharadi, Pune",97%,(521 votes),₹600
Dr. Aditi Adsule,"MS - Ophthalmology, DNB - Ophthalmology, DOMS, FCPS- Ophthalmology, MBBS",12 Years Experience Overall,Ophthalmologist,"Wakad, Pune",99%,(213 votes),₹550
Dr. Mukesh Paryani,"MBBS, DNB - Ophthalmology",15 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Wanowrie, Pune",100%,(146 votes),₹500
Dr. Ajit kumar,MS - Ophthalmology,31 Years Experience Overall,Ophthalmologist,"Hadapsar, Pune",100%,(14 votes),₹500
Dr. Pratibha Patil Chumbale,"DNB - Ophthalmology, MBBS",17 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Kharadi, Pune",100%,(64 votes),₹500
Dr. Dhanaashree Ratnaparkhi Deshmukh,"MBBS, DNB - Ophthalmology",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Pimpri-Chinchwad, Pune",0,0,₹400
Dr. Bhagwan Jogdand,"MBBS, DOMS",17 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Pimpri-Chinchwad, Pune",0,0,₹400
Dr. Hetal Mehta,"MBBS, MS - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology), MRCS (UK)",11 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Sangvi, Pune",100%,(32 votes),₹500
Dr. Arundhati Kale Sidhaye,"MBBS, DNB - Ophthalmology, DOMS",25 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Kothrud, Pune",95%,(58 votes),₹800
Dr. Tushar Waghule,"MBBS, DNB - Ophthalmology",13 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Hadapsar, Pune",0,0,₹400
Dr. Prabodhini Gupta,"MBBS, MS - Ophthalmology",38 Years Experience Overall  (37 years as specialist),Ophthalmologist,"Aundh, Pune",85%,(61 votes),₹400
Dr. Kuldeep Dole,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Deccan Gymkhana, Pune",0,0,₹500
Dr. Nikhil V. Rishikeshi,"MBBS, DOMS",24 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Deccan Gymkhana, Pune",98%,(92 votes),₹300
Dr. Gajanan Pendkar,"MBBS, MS - Ophthalmology",19 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Wagholi, Pune",96%,(24 votes),₹300
Dr. Rajneesh Pawar,"MS - Ophthalmology, MBBS",31 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Camp, Pune",100%,(16 votes),₹700
Dr. Piyush Jain,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Kondhwa, Pune",95%,(20 votes),₹400
Dr. Ashwini Misal,"MBBS, DOMS",21 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Pashan, Pune",0,0,₹400
Dr. Sachin Bodhale,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Wadgaon Sheri, Pune",67%,(30 votes),₹520
Dr. Anand Palimkar,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Viman Nagar, Pune",96%,(646 votes),₹600
Dr. Vitthal Satav,"MBBS, DOMS",25 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Viman Nagar, Pune",97%,(293 votes),₹500
Dr. Shilpa Patil,"MBBS, DOMS, DNB - Ophthalmology, FCPS- Ophthalmology",19 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",98%,(303 votes),₹400
Dr. Farida Ravat,"MBBS, MS - Ophthalmology",19 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Wakad, Pune",100%,(371 votes),₹500
Dr. Pritam Shingavi,"MBBS, DO, DNB - Ophthalmology",27 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Satara Road, Pune",0,0,₹500
Dr. Nitin Prabhudesai,"MS - Ophthalmology, MBBS, DOMS",28 Years Experience Overall,Ophthalmologist,"Kothrud, Pune",95%,(574 votes),₹1000
Dr. Supriya Agashe Wanpal,"MBBS, DNB - Ophthalmology",14 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Kothrud, Pune",98%,(247 votes),₹400
Dr. Arundhati Pande,"MBBS, DOMS, DNB - Ophthalmology",21 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Aundh, Pune",95%,(222 votes),₹500
Dr. Medha Prabhudesai,"MBBS, DOMS",27 Years Experience Overall,Ophthalmologist,"Kothrud, Pune",100%,(26 votes),₹1000
Dr. Ajita Garud Shinde,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Wakad, Pune",0,0,₹300
Dr. Neeta Gadkari,"MS - Ophthalmology, MBBS",34 Years Experience Overall  (31 years as specialist),Ophthalmologist,"Deccan Gymkhana, Pune",98%,(308 votes),₹600
Dr. Prafulla Kumar Aras,"MBBS, MS - Ophthalmology",40 Years Experience Overall  (36 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",0,0,₹600
Dr. Jeevan Kale,"MBBS, MS - Ophthalmology",17 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Paud Road, Pune",0,0,₹500
Dr. Snehal Wakchaure,"MBBS, DOMS",15 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Vishrantwadi, Pune",97%,(37 votes),₹500
Dr. Bhushan Wadekar,"MBBS, MD - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",100%,(369 votes),₹800
Dr. Amit Chaudhari,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Akurdi, Pune",84%,(19 votes),₹350
Dr. Suni Abraham,"MBBS, DNB - Ophthalmology",20 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Viman Nagar, Pune",0,0,₹500
Dr. Sharoon Shitole,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",96%,(689 votes),₹400
Dr. Mayur Jawale,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Sadashiv Peth, Pune",86%,(14 votes),₹500
Dr. Muralidhar Alavandi,MBBS,32 Years Experience Overall,Ophthalmologist,"Viman Nagar, Pune",92%,(13 votes),₹500
Dr. Sonali Rohan Nahar,"DOMS, MBBS",20 Years Experience Overall  (16 years as specialist),Ophthalmologist,"JM Road, Pune",100%,(79 votes),₹700
Dr. Seema Mane,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",0,0,₹500
Dr. Nidhi Patwardhan,"MBBS, DOMS",19 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",0,0,₹800
Dr. Sourabh Patwardhan,"MBBS, MD - Ophthalmology",17 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Pimple Saudagar, Pune",0,0,₹800
Dr. Ashwini Mahajan,"MBBS, MS - Ophthalmology",9 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Kothrud, Pune",94%,(16 votes),₹400
Dr. Metta Padma Lakshmi,"MBBS, DO",20 Years Experience Overall,Ophthalmologist,"Aundh, Pune",0,0,₹500
Dr. Sudhir Baburdikar,"MBBS, MS - Ophthalmology",18 Years Experience Overall,Ophthalmologist,"Aundh, Pune",0,0,₹500
Dr. Aarati Desai,"MBBS, FCPS- Ophthalmology, DNB - Ophthalmology, DOMS",17 Years Experience Overall,Ophthalmologist,"Erandwane, Pune",0,0,₹500
Dr. Ashis Ghosh,"MBBS, MS - Ophthalmology",13 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Hadapsar, Pune",0,0,₹500
Dr. Prasanna Uday Patil,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Viman Nagar, Pune",0,0,₹600
Dr. Shweta Jain,"MBBS, DNB - Ophthalmology",10 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Paschim Vihar, Delhi",97%,(106 votes),₹499
Dr. Abhiyan Kumar Pattnaik,"DO, MBBS",22 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Lajpat Nagar III, Delhi",95%,(237 votes),₹500
Dr. Rakesh Mahajan,"MBBS, DO",36 Years Experience Overall,Ophthalmologist,"Pitampura, Delhi",0,0,₹500
Dr. Varun Gogia,"MBBS, MD - Ophthalmology",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Lajpat Nagar 4, Delhi",99%,(539 votes),₹800
Dr. Ankush Mutreja,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",14 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Dwarka, Delhi",92%,(142 votes),₹699
Dr. Lagan Paul Mutreja,"MBBS, MS - Ophthalmology",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Dwarka, Delhi",0,0,₹500
Dr. Deepankur Mahajan,"MD - Ophthalmology, MBBS",16 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Pitampura, Delhi",91%,(11 votes),₹1000
Dr. Alkesh Chaudary,"MS - Ophthalmology, MBBS",29 Years Experience Overall,Ophthalmologist,"Greater Kailash Part 2, Delhi",0,0,₹1000
Dr. Rajat Jain,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Delhi, Delhi",86%,(28 votes),₹599
Dr. Robin Aggarwal,"MD - Physician, DO",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹699
Dr. Manik Mittal,"MBBS, MD - Ophthalmology",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Paschim Vihar, Delhi",98%,(56 votes),₹699
Dr. Saurabh Singh,"MBBS, MS - Ophthalmology",20 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹699
Dr. Pankaj Jain,"MBBS, MS - Ophthalmology",46 Years Experience Overall  (43 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹1050
Dr. Rakesh Kumar,"MBBS, MS - Ophthalmology",17 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",97%,(101 votes),₹1000
Dr. Tyag Murti Sharma,"MBBS, MD - Ophthalmology",34 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Janakpuri, Delhi",99%,(145 votes),₹900
Dr. Neeraj Wadhwa,"MD - Ophthalmology, MBBS",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Malviya Nagar, Delhi",87%,(993 votes),₹650
Dr. Amanjot Singh,"MS - Ophthalmology, MBBS",34 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Vishal Nigam,"MBBS, DNB - Ophthalmology",21 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Neb Sarai, Delhi",98%,(141 votes),₹600
Dr. Mukesh Taneja,"MBBS, DO, DNB - Ophthalmology",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Bali Nagar, Delhi",0,0,₹600
Dr. Gaurav Garg,"MBBS, MD - Ophthalmology",7 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Mayur Vihar Ph-I, Delhi",0,0,₹600
Dr. Sanjiv Gupta,"MBBS, MS - Ophthalmology",28 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Safdarjung Development Area, Delhi",95%,(407 votes),₹1000
Dr. Neha Midha,"MD - Ophthalmology, MBBS",8 Years Experience Overall,Ophthalmologist,"Rohini Sector 3, Delhi",100%,(12 votes),₹500
Dr. SK Khanna,"MBBS, MS - Ophthalmology",47 Years Experience Overall  (42 years as specialist),Ophthalmologist,"Patel Nagar West, Delhi",99%,(119 votes),₹800
Dr. Ashwini Jain,"MBBS, DOMS",28 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Shahdara, Delhi",81%,(21 votes),₹400
Dr. Yogesh Solanki,"MBBS, DO",26 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Rohini, Delhi",83%,(12 votes),₹500
Dr. Alaka Priyadarsini Dash,"MBBS, DNB - Ophthalmology",17 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Dwarka Sector 17, Delhi",99%,(141 votes),₹600
Dr. Priyanka Singh,"MBBS, MS - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Saket, Delhi",0,0,₹700
Dr. Ankita Sharma,"MBBS, MS - Ophthalmology",14 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Vikas Puri, Delhi",0,0,₹500
Dr. Medha Rajyan,"MBBS, MS - Ophthalmology",12 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Janakpuri, Delhi",100%,(13 votes),₹500
Dr. Prateek Kakkar,"MBBS, MD - Ophthalmology",12 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Ashok Vihar Phase 1, Delhi",0,0,₹600
Dr. Abhishek Sharma,"MBBS, MS - Ophthalmology",17 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Dwarka, Delhi",98%,(373 votes),₹700
Dr. Vaibhav Khanna,"MBBS, DO, DNB - Ophthalmology",7 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Patel Nagar West, Delhi",0,0,₹600
Dr. Sangeeta Mutreja,"MBBS, DO",37 Years Experience Overall,Ophthalmologist,"Dwarka, Delhi",89%,(45 votes),₹500
Dr. Ishita Anand,"MBBS, DNB - Ophthalmology",13 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Malviya Nagar, Delhi",95%,(56 votes),₹650
Dr. Ankita Sabharwal,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹900
Dr. Ravi Thadani,"MBBS, MS - Ophthalmology",39 Years Experience Overall,Ophthalmologist,"Janakpuri, Delhi",96%,(348 votes),₹700
Dr. Priya Dua,"MBBS, MS - Ophthalmology",20 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Rohini, Delhi",99%,(837 votes),₹600
Dr. Pravin Kumar,"MBBS, MS - Ophthalmology",47 Years Experience Overall  (43 years as specialist),Ophthalmologist,"Krishna Nagar, Delhi",0,0,₹700
Dr. Sanjay Bajaj,"MBBS, DO",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Shahdara, Delhi",93%,(226 votes),₹500
Dr. Sanjay Dhawan,"MBBS, MS - Ophthalmology",35 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",100%,(16 votes),₹1200
Dr. Parul Sharma,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",25 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",89%,(55 votes),₹1000
Dr. Nikhil Pal,"MBBS, MD - Ophthalmology",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",90%,(41 votes),₹1000
Dr. Shashi Nath Jha,"MBBS, MD - Ophthalmology",40 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Rajouri Garden, Delhi",93%,(94 votes),₹1000
Dr. Sapna Chanana,"MBBS, MS - Ophthalmology",29 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Paschim Vihar, Delhi",95%,(21 votes),₹600
Dr. Neha Mohan,"MBBS, MS - Ophthalmology",15 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Shalimar Bagh, Delhi",0,0,₹600
Dr. Mayank Bansal,"MBBS, MD - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",100%,(15 votes),₹1000
Dr. Aparna Gupta,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",85%,(27 votes),₹1000
Dr. S.P. Chaudhary,"MBBS, MS - Ophthalmology",22 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Mayur Vihar Ph-II, Delhi",96%,(24 votes),₹800
Dr. Pawan Gupta,"MBBS, MS - Ophthalmology",22 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Laxmi Nagar, Delhi",76%,(21 votes),₹400
Dr. Deepali Garg Mathur,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, MNAMS - Ophthalmology",26 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Surya Kant Jha,"MS - Ophthalmology, MBBS",18 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Malviya Nagar, Delhi",0,0,₹600
Dr. Sunita Lulla Gur,"MBBS, MS - Ophthalmology",32 Years Experience Overall  (28 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",99%,(1235 votes),₹600
Dr. Aarti Surbhit Choudhry,"MBBS, DNB - Ophthalmology",28 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Nehru Place, Delhi",96%,(485 votes),₹1000
Dr. Charu Mithal,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",82%,(11 votes),₹1000
Dr. Digvijay Singh,"MBBS, FAICO (Fellow of All India Collegium of Ophthalmology)",15 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Malviya Nagar, Delhi",99%,(253 votes),₹1100
Dr. Tarun Kapur,"MBBS, MS - Ophthalmology",24 Years Experience Overall,Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Vijay Sabharwal,"MBBS, MD - Ophthalmology",48 Years Experience Overall  (44 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹800
Dr. Deepak Pandita,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Kilokri, Delhi",0,0,₹700
Dr. Ashiwini Seth,"MBBS, MS - Ophthalmology",38 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Karol Bagh, Delhi",0,0,₹750
Dr. Sharad Lakhotia,"MBBS, MS - Ophthalmology",37 Years Experience Overall  (36 years as specialist),Ophthalmologist,"Greater Kailash Part 2, Delhi",97%,(66 votes),₹800
Dr. Lubat Seth,"MBBS, DOMS, MS - Ophthalmology",36 Years Experience Overall,Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹2000
Dr. Aniel Malhotra,"MBBS, DO, MS - Ophthalmology",32 Years Experience Overall,Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹2000
Dr. Ashu Agarwal,"MBBS, MS - Ophthalmology",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹1500
Dr. Vishal Grover,"MBBS, DO, DNB - Ophthalmology",32 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Greater Kailash Part 2, Delhi",97%,(2109 votes),₹1200
Dr. Vivek Garg,"MBBS, DOMS",17 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Pusa Road, Delhi",0,0,₹1000
Dr. Manav Sachdev,"DNB - Ophthalmology, MBBS, MS - Ophthalmology",16 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Dwarka Sector 23, Delhi",0,0,₹600
Dr. Ranjana Mittal,"MBBS, MS - Ophthalmology",41 Years Experience Overall  (37 years as specialist),Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹2000
Dr. Poonam Gupta,"MS - Ophthalmology, DNB - Ophthalmology",27 Years Experience Overall,Ophthalmologist,"Shalimar Bagh, Delhi",0,0,₹700
Dr. Rohit Nanda,"MBBS, DO",21 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Dwarka Sector 12, Delhi",93%,(149 votes),₹800
Dr. Rishi Mohan,"MBBS, MD - Ophthalmology, DNB - Ophthalmology",40 Years Experience Overall  (37 years as specialist),Ophthalmologist,"Lajpat Nagar, Delhi",91%,(35 votes),₹2500
Dr. Neha Goel,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FRCS - General Surgery, MNAMS - Ophthalmology",13 Years Experience Overall,Ophthalmologist,"Bali Nagar, Delhi",0,0,₹600
Dr. Varshini Shanker,"MBBS, DNB - Ophthalmology",20 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Neb Sarai, Delhi",96%,(49 votes),₹1000
Dr. Sonika Gupta,"MBBS, MS - Ophthalmology",23 Years Experience Overall,Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Ranjit Verma,"MBBS, MS - Ophthalmology",33 Years Experience Overall,Ophthalmologist,"Panchsheel Park, Delhi",0,0,₹1000
Dr. Meetu Bansal,"MBBS, DO",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Malviya Nagar, Delhi",95%,(164 votes),₹650
Dr. Laxman Vekaria,"MBBS, MD - Ophthalmology",11 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Janakpuri, Delhi",0,0,₹500
Dr. Neha Shukla,"MBBS, DOMS",16 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Vasant Kunj, Delhi",98%,(60 votes),₹700
Dr. Indira Mohan,"MBBS, DOMS",34 Years Experience Overall  (31 years as specialist),Ophthalmologist,"Lajpat Nagar, Delhi",92%,(12 votes),₹1800
Dr. Navin Sakhuja,"MD - Ophthalmology, DNB - Ophthalmology, MBBS",36 Years Experience Overall  (31 years as specialist),Ophthalmologist,"Panchsheel Park, Delhi",99%,(108 votes),₹2000
Dr. Vanuli Bajpai,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Dwarka Sector 6, Delhi",0,0,₹900
