Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Priyanka Gupta,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",18,Undri, Pune,99,169,500
Dr. Swathi Gogineni,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellowship in Reproductive Medicine",14,Jubilee Hills, Hyderabad,85,27,700
Dr. Sarika Dahiphale,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",19,Baner, Pune,98,457,600
Dr. Sivakumar Chandrasekaran,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",25,T Nagar, Chennai,0,0,600
Dr. Sneha A. Deshpande,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology, DGO",15,Kharadi, Pune,93,75,500
Dr. Amishrita Chintawar,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",9,Ramanthapur, Hyderabad,100,11,350
Dr. Vaishali Chaudhari,Infertility Specialist,"MBBS, DGO",14,Chembur East, Mumbai,100,19,800
Dr. Geetanjali Gariema,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",21,Oshiwara, Mumbai,0,0,1500
Dr. Pallavi Joshi Bhaik,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology, DGO",19,Kothrud, Pune,95,20,400
Dr. Jiteeka Thakkar,Infertility Specialist,"MBBS, DGO",12,Ghatkopar West, Mumbai,0,0,500
Dr. Sasirekha Kumaran,Infertility Specialist,"MBBS, DGO, MD - Obstetrics & Gynaecology",22,Valasaravakkam, Chennai,97,266,500
Dr. Preeti Deshpande,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",19,Mahim, Mumbai,98,47,1600
Dr. Shital S Jadhav,Infertility Specialist,"DNB - Obstetrics & Gynecology, MBBS",18,Kandivali East, Mumbai,99,81,1000
Dr. Shalni .S,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",11,Madhapur, Hyderabad,96,112,600
Dr. Sritheja,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",9,Chanda Nagar, Hyderabad,0,0,400
Dr. Hrishikesh Pai,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",39,Bandra West, Mumbai,100,52,2000
Dr. M.H. Abinaya,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",20,T Nagar, Chennai,99,305,700
Dr. Sachin Dalal,Infertility Specialist,"FCPS - Mid. & Gynae, DGO, DNB - Obstetrics & Gynecology",20,Bhandup West, Mumbai,93,216,1000
Dr. Pratibha Chavan,Infertility Specialist,"MBBS, DGO",18,Pimple Saudagar, Pune,96,2448,600
Dr. Nanda R Kumar,Infertility Specialist,"MBBS, DGO",19,Chembur East, Mumbai,89,179,1000
Dr. T. Anuradha,Infertility Specialist,"MBBS, DGO",31,KPHB, Hyderabad,100,25,700
Dr. Simi Kawar,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",29,Malad West, Mumbai,0,0,1600
Dr. Amudha Hari,Infertility Specialist,"MBBS, DGO",35,Sholinganallur, Chennai,86,37,400
Dr. Swarnalatha Kamshetty,Infertility Specialist,"MBBS, DGO",12,Tilak Nagar, Hyderabad,0,0,500
Dr. Karunya Ramesh,Infertility Specialist,"DGO, MBBS",11,Adyar, Chennai,100,27,400
Dr. Dhrupti B Dedhia,Infertility Specialist,"MBBS, DGO, MD - Obstetrics & Gynaecology",24,Santacruz West, Mumbai,0,0,1500
Dr. Nandita P Palshetkar,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",37,Opera House, Mumbai,85,47,1000
Dr. Thokal Pravin Chhaburao,Infertility Specialist,"MBBS, DGO",16,Viman Nagar, Pune,0,0,0
Dr. Neeraja Valli G,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",17,KPHB, Hyderabad,100,87,500
Dr. Radhika Santosh Bhandary,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",26,AS Rao Nagar, Hyderabad,96,53,350
Dr. Manasvi Bommareddy,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",8,Nallagandla, Hyderabad,0,0,500
Dr. Methukupally Arpitha Reddy,Infertility Specialist,"MBBS, DGO, MRCOG(UK)",23,Kukatpally, Hyderabad,0,0,600
Dr. Jagrati Laad,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",18,Baner, Pune,93,556,600
Dr. Prakash Trivedi,Infertility Specialist,"MBBS, DGO, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae",43,Ghatkopar East, Mumbai,99,148,3000
Dr. Madhumitha R,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",9,Madipakkam, Chennai,100,142,300
Dr. Sivakamu Dhandapani,Infertility Specialist,"MBBS, DGO, MD - Obstetrics & Gynaecology",45,Triplicane, Chennai,87,47,500
Dr. Mukesh Agrawal,Infertility Specialist,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, DGO, MBBS",31,Malad West, Mumbai,0,0,1600
Dr. Monisha M.R,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",12,Anna Nagar, Chennai,0,0,500
Dr. Rajendra S Sankpal,Infertility Specialist,"MD - Obstetrics & Gynaecology, DGO, MBBS",28,Malad West, Mumbai,98,89,1000
Dr. Pradnya Randive,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",16,Bhandup West, Mumbai,95,128,800
Dr. Kishor Kumar Hol,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",17,Sinhagad Road, Pune,95,44,600
Dr. Sindhura Bandi,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",11,Nallagandla, Hyderabad,0,0,800
Dr. Hema Sree,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",7,Gachibowli, Hyderabad,0,0,800
Dr. Lavina Batra,Infertility Specialist,"MBBS, DGO",17,Viman Nagar, Pune,80,498,500
Dr. Nilesh Unmesh Balkawade,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",18,Wakad, Pune,97,30,700
Dr. Swathy KJ,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",7,Kolathur, Chennai,0,0,400
Dr. Raju Sahetya,Infertility Specialist,"MD - Obstetrics & Gynaecology, DGO, FCPS - Mid. & Gynae, MBBS",43,Malad West, Mumbai,95,115,1000
Dr. Swapna Chekuri,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",18,Kothapet, Hyderabad,96,1248,800
Dr. Meenakshi Dinde,Infertility Specialist,"MD - Obstetrics & Gynaecology, MBBS",10,Thergaon, Pune,0,0,500
Dr. Abhijit Nikam,Infertility Specialist,"DGO, MBBS",15,Dhayari, Pune,0,0,500
Dr. Vijay Kumar S Mete,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",19,Pimpri-Chinchwad, Pune,0,0,500
Dr. Priyamvada Shah,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Diploma in Advanced Endoscopic Gynae Surgery",24,Kothrud, Pune,95,109,500
Dr. Mangalam,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15,Neelankarai, Chennai,0,0,750
Dr. Sushruta Mokadam,Infertility Specialist,"MD - Obstetrics & Gynaecology, MBBS",28,Kharadi, Pune,88,41,650
Dr. Kammela Sridevi,Infertility Specialist,"MBBS, DGO",18,Mehdipatnam, Hyderabad,100,14,500
Dr. Bobby M,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",20,Thoraipakkam, Chennai,100,59,750
Dr. Abirami,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",10,Thousand Lights, Chennai,0,0,1000
Dr. Hitesh I Parikh,Infertility Specialist,"MD - Obstetrics & Gynaecology, DGO, MBBS",35,Bandra West, Mumbai,0,0,1000
Dr. Vanitha Shri,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",19,OMR Road, Chennai,96,92,600
Dr. Reshma Sultana,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",23,Jubilee Hills, Hyderabad,0,0,700
Dr. Jaideep Palwde,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",15,Baner, Pune,98,51,500
Dr. Soumil Trivedi,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",14,Ghatkopar East, Mumbai,100,83,2000
Dr. Ashlesha Sankhe,Infertility Specialist,"MD - Obstetrics & Gynaecology, MBBS",26,Andheri West, Mumbai,98,103,1500
Dr. Gangurde Pritimala Bhalchandra,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",19,Kandivali West, Mumbai,0,0,800
Dr. Latha Mageswari P,Infertility Specialist,"MBBS, DGO",25,Chromepet, Chennai,83,23,600
Dr. Divya G,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",19,Sholinganallur, Chennai,88,52,500
Dr. Hema Gokila Jyoti Basu,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",25,Washermenpet, Chennai,100,23,300
Dr. Ankesh Sahetya,Infertility Specialist,"DNB - Obstetrics & Gynecology, DGO, MNAMS - Obstetrics & Gynaecology, MBBS",14,Andheri West, Mumbai,100,1098,1000
Dr. Vidya Muralidhar,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology",13,Hebbal Kempapura, Bangalore,98,225,400
Dr. Vinod Bharati,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",20,Kharadi, Pune,99,1423,700
Dr. Sreevani Kotha,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",19,Dilsukhnagar, Hyderabad,97,36,700
Dr. Sai Manasa Darla,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",10,Uppal, Hyderabad,0,0,700
Dr. Sneha Ashok Sasane,Infertility Specialist,"DGO, MBBS",14,Hadapsar, Pune,99,173,500
Dr. Miral Patel,Infertility Specialist,"DNB - Obstetrics & Gynecology, MBBS, DGO",14,Borivali West, Mumbai,100,17,99
Dr. Nandan Purandare,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",14,Dadar, Mumbai,0,0,1000
Dr. Ramit Kamate,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15,Balewadi, Pune,89,44,700
Dr. Eeshani Dutta,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",9,Quthbullapur, Hyderabad,100,16,500
Dr. Mamta Dighe,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FNB - Reproductive Medicine, FCPS - Mid. & Gynae, DGO",28,Wakad, Pune,96,1189,900
Dr. Rohan Palshetkar,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",12,Opera House, Mumbai,0,0,500
Dr. Neranjana.P,Infertility Specialist,"DNB - Obstetrics & Gynecology, MBBS",15,Anna Nagar East, Chennai,0,0,600
Dr. Meenal Warade,Infertility Specialist,"DGO, MBBS",13,Ravet, Pune,100,65,600
Dr. Tejashwini G,Infertility Specialist,"MBBS, DGO",13,Nacharam, Hyderabad,95,88,500
Dr. Saloni Suchak,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",17,Malad West, Mumbai,99,597,1000
Dr. Archana S Ayyanathan,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",17,Anna Nagar, Chennai,97,123,1000
Dr. Asmita Potdar,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",20,Aundh, Pune,90,71,900
Dr. Parinaaz Parhar,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",9,Secunderabad, Hyderabad,100,28,700
Dr. Ashwini B Gowdra,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",20,HSR Layout, Bangalore,96,2679,800
Dr. Anagha Chhatrapati,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",15,Parel, Mumbai,0,0,1600
Dr. Hemalatha Pugalendhi,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",34,Anna Nagar, Chennai,0,0,1000
Dr. Ramyasree Reddy,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",8,Anna Nagar, Chennai,0,0,1000
Dr. Shruti Thar,Infertility Specialist,"MBBS, DGO, FCPS - Mid. & Gynae",11,Mulund West, Mumbai,100,11,1000
Dr. Shubhada Sanjiv Khandeparkar,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",43,Dadar East, Mumbai,92,103,2500
Dr. Shilpa Shah Gohil,Infertility Specialist,"MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, DGO, FCPS - Mid. & Gynae",19,Mahim, Mumbai,98,135,1800
Dr. Anitha M,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",17,KK Nagar, Chennai,100,122,500
Dr. Yasmin Imdad,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",20,Whitefield, Bangalore,100,63,600
Dr. K.S Jeyarani Kamaraj,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology, DGO",34,Vadapalani, Chennai,92,550,600
Dr. Prathiba Govindaiah,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",17,HSR Layout, Bangalore,96,204,700
Dr. Revathy Ramaswamy,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",33,Secunderabad, Hyderabad,95,174,800
Dr. C. Hemalatha Devi,Infertility Specialist,"MBBS, DGO",52,West Marredpally, Hyderabad,92,200,800
Dr. Tejashree Bhor,Infertility Specialist,"MBBS, DGO",13,Kalyani Nagar, Pune,73,15,450
Dr. Tanuja Uchil,Infertility Specialist,"MD - Obstetrics & Gynaecology, MBBS",25,Chembur East, Mumbai,94,840,1200
Dr. P.Prasuna Rani,Infertility Specialist,"MBBS, DGO",22,Gachibowli, Hyderabad,89,158,900
Dr. Sangeetha Visheswar,Infertility Specialist,"MBBS, DGO",23,Velachery, Chennai,95,21,700
Dr. Manisha Munemane,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",27,Wakad, Pune,94,2156,600
Dr. Priti Shyamkul,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",19,Andheri East, Mumbai,94,102,800
Dr. Mohita Goyal,Infertility Specialist,"MBBS, DGO",22,Viman Nagar, Pune,95,900,600
Dr. V. Bharathi,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",15,Mandaveli, Chennai,96,55,500
Dr. P. Surya,Infertility Specialist,"MBBS, DGO",14,OMR Road, Chennai,0,0,600
Dr. Durga Vytla,Infertility Specialist,"MBBS, DGO, Fellowship in Reproductive Medicine",13,Miyapur, Hyderabad,98,175,600
Dr. Ganeswar Barik,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",10,Thousand Lights, Chennai,0,0,0
Dr. Sunita Kale,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",31,Karve Nagar, Pune,98,469,700
Dr. Ulhas Bapusaheb Pote,Infertility Specialist,"DNB - Obstetrics & Gynecology, DGO, MBBS",14,Baner, Pune,99,185,600
Dr. Madhushree Venkat,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",22,Mulund West, Mumbai,82,34,800
Dr. Tejal Deshmukh,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",19,Baner, Pune,0,0,1000
Dr. Mane Tejal Manohar,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology",16,Viman Nagar, Pune,0,0,0
Dr. Archana Anil Nagaonkar,Infertility Specialist,"MBBS, DGO",16,Madhapur, Hyderabad,94,103,600
Dr. Riddhi Dipak Doshi,Infertility Specialist,DNB - Obstetrics & Gynecology,7,Borivali West, Mumbai,0,0,1500
Dr. Jyoti Dekate,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",18,Wakad, Pune,96,572,600
Dr. Balaji Nalwad,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology, FCPS - Mid. & Gynae, DGO",21,Aundh, Pune,100,12,500
Dr. Meghana Giri,Infertility Specialist,"MBBS, DGO",17,Kharadi, Pune,94,267,600
Dr. Kausha Shah,Infertility Specialist,"MRCOG(UK), DNB - Obstetrics & Gynecology, MD - Obstetrics & Gynaecology, FCPS - Mid. & Gynae, MBBS, DGO, Diploma of the Faculty of Family Planning (DFFP)",16,Borivali West, Mumbai,88,42,800
Dr. Karishma Bhatia,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, MNAMS - Obstetrics & Gynaecology",11,Rohini, Delhi,97,93,500
Dr. Udaykumar Adate,Infertility Specialist,"MBBS, DGO",24,Sinhagad Road, Pune,100,24,400
Dr. Eena Adlakha,Infertility Specialist,"MBBS, DGO",14,Wakad, Pune,0,0,500
Dr. Chitra Shankar,Infertility Specialist,"MBBS, MD - Obstetrics & Gynaecology",26,Okkiyam Thuraipakkam, Chennai,97,213,1000
Dr. Anusha Reddy B,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",16,Hitech City, Hyderabad,0,0,700
Dr. Archana R Salve,Infertility Specialist,"MS - Obstetrics & Gynaecology, MBBS",17,Kalyani Nagar, Pune,0,0,800
Dr. BKN Sudha,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",16,KPHB, Hyderabad,98,132,500
Dr. Jasleen Kaur Malhotra,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",23,Dwarka, Delhi,98,533,600
Dr. Nandini Devi,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",13,Thousand Lights, Chennai,0,0,0
Dr. G Sujatha,Infertility Specialist,"DNB - Obstetrics & Gynecology, MBBS",24,Vadapalani, Chennai,94,17,800
Dr. A Aishwarya,Infertility Specialist,"MBBS, DNB - Obstetrics & Gynecology, MS - Obstetrics & Gynaecology",9,Besant Nagar, Chennai,0,0,500
Dr. Aruna Kumari V,Infertility Specialist,"MBBS, DGO",15,Bellandur, Bangalore,88,81,850
Dr. Sharmila Kumar,Infertility Specialist,"MBBS, MS - Obstetrics & Gynaecology",15,Kilkattalai, Chennai,0,0,500
Dr. Shreedevi Tanksale,Infertility Specialist,"DGO, DNB - Obstetrics & Gynecology, MBBS",14,Vileparle East, Mumbai,99,162,1000
Dr. Aarti Rapol,Infertility Specialist,"MBBS, DGO, DNB - Obstetrics & Gynecology",22,Aundh, Pune,100,138,500
Dr. Joshy E V,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",43,RT Nagar, Bangalore,97,102,1500
Dr. A.K. Roy,Neurologist,"MBBS, MD - Medicine, DM - Neurology",44,Old Airport Road, Bangalore,54,57,900
Dr. Sunil V Furtado,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",22,Sahakaranagar, Bangalore,99,164,700
Dr. Advait Kulkarni,Neurologist,"DM - Neurology, MBBS",14,HSR Layout, Bangalore,95,554,1200
Dr. Karthik Nagaraj,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",18,Bannerghatta Road, Bangalore,0,0,1000
Dr. Abdul Aziz Riyaz,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10,BTM Layout 2nd Stage, Bangalore,87,45,800
Dr. Deepak Somasundar,Neurologist,"MBBS, MS - General Surgery, DNB - Neurosurgery",13,Yelahanka New Town, Bangalore,99,69,700
Dr. Sunil Buddappa,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12,Sahakaranagar, Bangalore,0,0,1300
Dr. Aniruddh T Jagannath,Neurologist,"MCh - Neuro Surgery, MBBS",19,MG Road, Bangalore,100,86,1000
Dr. Sabyasachi Basu,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16,Koramangala 5 Block, Bangalore,0,0,1250
Dr. P.R. Krishnan,Neurologist,"MBBS, MD - General Medicine, DM - Neurology, DNB - Neurology",29,Bannerghatta Road, Bangalore,89,229,900
Dr. R. Srinivasa,Neurologist,"MBBS, MD - Medicine, DM - Neurology",44,Hebbal, Bangalore,97,1561,900
Dr. Ravishankar Reddy C. R.,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",29,Koramangala 1 Block, Bangalore,88,924,1000
Dr. Lokesh B,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",25,Hebbal, Bangalore,88,24,900
Dr. Anuradha H K,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",21,Hebbal, Bangalore,80,40,900
Dr. Guruprasad Hosurkar,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",18,Yeshwanthpur, Bangalore,88,16,950
Dr. Avinash K M,Neurologist,"MBBS, MS - General Surgery, MRCS (UK), MCh - Neuro Surgery",15,Hebbal, Bangalore,91,23,1090
Dr. Akshay Hari,Neurologist,"DNB - Neurosurgery, MBBS",12,Hebbal, Bangalore,98,59,900
Dr. Chandran Gnanamuthu,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",47,Bannerghatta Road, Bangalore,97,59,900
Dr. Nithin Kumar .N,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",23,Cunningham Road, Bangalore,94,344,700
Dr. Shobha. N,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",28,Malleswaram, Bangalore,97,545,750
Dr. Rajesh K N,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",20,Sampangiramnagar, Bangalore,96,1226,800
Dr. Ashok Kumar Singhal,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",21,Bannerghatta Road, Bangalore,94,264,900
Dr. P.C Mohan,Neurologist,"MBBS, Diploma in Child Health (DCH), DM - Neurology",26,Kengeri, Bangalore,73,15,700
Dr. Manjunath M,Neurologist,"MD - General Medicine, DM - Neurology, MBBS",17,Old Airport Road, Bangalore,100,27,900
Dr. Sanjiv C C,Neurologist,"MBBS, DM - Neurology",32,Basavanagudi, Bangalore,77,163,670
Dr. Pramod Krishnan,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",21,Old Airport Road, Bangalore,94,31,900
Dr. Nikhil C Hiremath,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",13,Yeshwanthpur, Bangalore,93,70,500
Dr. B K Madhusudhan,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",19,Yeshwanthpur, Bangalore,90,59,700
Dr. Pramod M N,Neurologist,"MBBS, DM - Neurology",20,Seshadripuram, Bangalore,99,92,740
Dr. Reginald Varadarajulu,Neurologist,"MBBS, DNB - Neurology, MD - General Medicine,  FRCP",38,Kammana Halli, Bangalore,80,30,1300
Dr. Prashanth L K,Neurologist,"MBBS, DM - Neurology",21,Millers Road, Bangalore,72,29,1450
Dr. Soniya Tambe,Neurologist,"MBBS, MD - Pediatrics, DM - Neurology",13,Electronics City, Bangalore,100,13,700
Dr. Anil.R,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",20,Hebbal, Bangalore,0,0,800
Dr. Amit Kulkarni,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",18,Rajarajeshwarinagar, Bangalore,88,33,700
Dr. B.Nataraju,Neurologist,"MBBS, DM - Neurology",47,Kundalahalli, Bangalore,74,27,950
Dr. Shakthi K J S,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",9,Yeshwanthpur, Bangalore,83,12,600
Dr. Srinivas Raju D,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",13,Hebbal, Bangalore,0,0,800
Dr. Deepa N A,Neurologist,"MBBS, DM - Neurology",18,Yeshwanthpur, Bangalore,100,30,600
Dr. Saurabh Sadekar Gajanan,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",10,Jayanagar 9 Block, Bangalore,0,0,750
Dr. Jagdish Chattnalli,Neurologist,"DNB - Neurosurgery, MBBS",22,Ashoknagar, Bangalore,74,19,800
Dr. J B Agadi,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",44,Seshadripuram, Bangalore,77,13,740
Dr. Rajesh B. Iyer,Neurologist,"MD - General Medicine, DM - Neurology, MBBS",27,Vasanthnagar, Bangalore,100,27,1000
Dr. S. Raghavendra,Neurologist,"MD - General Medicine, MBBS, DM - Neurology",24,Vasanthnagar, Bangalore,98,58,1000
Dr. Preethish Kumar,Neurologist,"MBBS, MRCP (UK), PhD - Neurology",9,Sampangiramnagar, Bangalore,0,0,800
Dr. Surbhi Chaturvedi,Neurologist,"DM - Neurology, MD - General Medicine, MBBS",11,Ashoknagar, Bangalore,0,0,800
Dr. Jaychandran R,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",18,Vasanthnagar, Bangalore,100,17,1000
Dr. Satish Babu HV,Neurologist,"MBBS, MCh - Neuro Surgery",31,HRBR Layout, Bangalore,0,0,1000
Dr. Nikhil B,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",13,Bilekahalli, Bangalore,0,0,700
Dr. Sowmya. M,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",17,JP Nagar, Bangalore,100,11,1000
Dr. Balaji B S,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",8,Sarjapur Road, Bangalore,0,0,700
Dr. Kishore K V,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",10,Jayanagar, Bangalore,0,0,700
Dr. Keni Ravish Rajiv,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",14,JP Nagar, Bangalore,0,0,950
Dr. Kunal Jadhav,Neurologist,"MD - General Medicine, DM - Neurology, MBBS",14,Wakad, Pune,90,134,900
Dr. Nilesh M. Bhandari,Neurologist,"MBBS, DNB - Neurology, DNB - General Medicine",19,Aundh, Pune,73,86,900
Dr. Sarang Gotecha,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15,Wakad, Pune,100,12,850
Dr. Mandar Patil,Neurologist,"MBBS, DNB - Neurosurgery",13,Wakad, Pune,0,0,800
Dr. Shalesh Rohatgi,Neurologist,"DM - Neurology, MD - General Medicine, MBBS",46,NIBM, Pune,86,77,800
Dr. Rahul Patil,Neurologist,"MCh - Neuro Surgery, MBBS, MS - General Surgery",16,Wakad, Pune,0,0,1000
Dr. Bhushan Mishal,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",17,Aundh, Pune,0,0,1000
Dr. Anup Bende,Neurologist,"DNB - Neurology, MBBS",4,Hadapsar, Pune,0,0,500
Dr. Priyanka Walzade,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",9,Baner Road, Pune,100,141,1000
Dr. Sarang Rote,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13,Camp, Pune,0,0,1500
Dr. (Lt Gen) CS Narayanan,Neurologist,"MBBS, MD - Medicine, DM - Neurology",42,Dwarka Sector 6, Delhi,92,168,1100
Dr. Ramandeep S. Dang,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",27,Greater Kailash Part 1, Delhi,92,280,1500
Dr. Shailesh Jain,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",20,Pitampura, Delhi,95,142,1200
Dr. Sunilkumar Baranwal,Neurologist,"MCh - Neuro Surgery, MS - General Surgery, MBBS",17,Pitampura, Delhi,71,28,1100
Dr. Amitabh Gupta,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",20,Vasant Kunj, Delhi,87,23,1200
Dr. Khushbu Goel,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",15,Dwarka Sector 6, Delhi,95,59,1100
